IMname,Category,Energy,Frequency
9,1,26067.55445,84
9,1,27621.85947,85
9,1,27388.35412,86
9,1,23998.20259,87
9,1,20718.96395,88
9,1,20703.64218,89
9,1,19756.61602,90
10,1,4.99E+11,1
10,1,34123201544,2
10,1,31462867266,3
10,1,9447494105,4
10,1,3112879000,5
10,1,1610812839,6
10,1,1089589957,7
10,1,1119931406,8
10,1,479868727.4,9
10,1,362113372.1,10
10,1,325669743.5,11
10,1,205473505.2,12
10,1,102859423,13
10,1,132304515.2,14
10,1,128658485.8,15
10,1,82057792.39,16
10,1,60336779.18,17
10,1,46071380.91,18
10,1,34858030.76,19
10,1,29444535.32,20
10,1,14950379.35,21
10,1,14202498.95,22
10,1,15137506.33,23
10,1,12996066.84,24
10,1,16433277.8,25
10,1,16763821.83,26
10,1,13233341.03,27
10,1,13458803.35,28
10,1,10476346.31,29
10,1,9108729.856,30
10,1,9878200.333,31
10,1,7743332.024,32
10,1,6194497.414,33
10,1,5872701.729,34
10,1,5355290.842,35
10,1,5004574.281,36
10,1,4247493.191,37
10,1,4161849.449,38
10,1,4025752.816,39
10,1,4019842.445,40
10,1,3276237.494,41
10,1,3405896.287,42
10,1,2597160.969,43
10,1,2318338.906,44
10,1,2425676.546,45
10,1,2324792.489,46
10,1,1706808.987,47
10,1,1667632.339,48
10,1,1499603.652,49
10,1,1145770.446,50
10,1,1326344.773,51
10,1,1043773.315,52
10,1,1067107.996,53
10,1,1013080.106,54
10,1,951811.4399,55
10,1,735050.4437,56
10,1,824857.0706,57
10,1,827271.1926,58
10,1,686315.9925,59
10,1,732963.8646,60
10,1,652184.882,61
10,1,558636.9624,62
10,1,571360.5111,63
10,1,411603.3152,64
10,1,354335.6171,65
10,1,338874.0732,66
10,1,261820.406,67
10,1,235318.0478,68
10,1,188292.8899,69
10,1,169045.4209,70
10,1,151228.9176,71
10,1,145474.4788,72
10,1,126460.73,73
10,1,111819.7787,74
10,1,95828.82201,75
10,1,84855.13135,76
10,1,81369.73775,77
10,1,75009.15033,78
10,1,76040.69418,79
10,1,72127.86675,80
10,1,60787.10834,81
10,1,55582.39298,82
10,1,52038.69828,83
10,1,46806.5372,84
10,1,39634.79065,85
10,1,38513.61336,86
10,1,37928.72113,87
10,1,39979.72141,88
10,1,38843.78825,89
10,1,32610.49171,90
11,1,5.04E+11,1
11,1,37863257025,2
11,1,26513988646,3
11,1,5953682255,4
11,1,3217187262,5
11,1,1433403692,6
11,1,1312589350,7
11,1,1089747238,8
11,1,428817296.2,9
11,1,277916987.5,10
11,1,302107829.6,11
11,1,166618421.2,12
11,1,219503807.3,13
11,1,128826326.2,14
11,1,147551635.1,15
11,1,160583733.3,16
11,1,116702216.4,17
11,1,80769182.2,18
11,1,53324570.83,19
11,1,38074453.92,20
11,1,26829896.92,21
11,1,22408040.36,22
11,1,23833447.51,23
11,1,19512485.19,24
11,1,18242010.08,25
11,1,17804124.58,26
11,1,18872564.53,27
11,1,17116348.11,28
11,1,16048876.38,29
11,1,17552361.28,30
11,1,11510648.51,31
11,1,12487031.45,32
11,1,10502805.37,33
11,1,7768936.994,34
11,1,7251266.109,35
11,1,7053405.261,36
11,1,6444278.709,37
11,1,5351926.949,38
11,1,4969007.622,39
11,1,4252729.077,40
11,1,4201876.329,41
11,1,3328268.482,42
11,1,2768248.756,43
11,1,3307125.831,44
11,1,2354617.236,45
11,1,2546915.968,46
11,1,1972515.129,47
11,1,2115287.127,48
11,1,1646979.349,49
11,1,1296508.839,50
11,1,955677.1315,51
11,1,843472.8153,52
11,1,621528.0494,53
11,1,593907.0496,54
11,1,475834.5882,55
11,1,381977.819,56
11,1,380420.4101,57
11,1,308198.8854,58
11,1,302878.5063,59
11,1,239017.1778,60
11,1,212837.8942,61
11,1,168004.3478,62
11,1,124632.7,63
11,1,127208.3805,64
11,1,96953.35429,65
11,1,73667.08441,66
11,1,63670.81854,67
11,1,44294.12913,68
11,1,39336.02415,69
11,1,38889.47124,70
11,1,31451.89906,71
11,1,23552.64126,72
11,1,18697.97525,73
11,1,15479.34571,74
11,1,13616.93013,75
11,1,11446.37221,76
11,1,9467.472302,77
11,1,8708.145395,78
11,1,7432.347112,79
11,1,7879.615399,80
11,1,6289.768689,81
11,1,5354.291286,82
11,1,5904.003504,83
11,1,5041.363697,84
11,1,4319.224574,85
11,1,4929.327657,86
11,1,4338.110005,87
11,1,4296.877565,88
11,1,4016.565785,89
11,1,3907.336069,90
12,1,4.88E+11,1
12,1,36809655616,2
12,1,27965655873,3
12,1,6954640172,4
12,1,3240451711,5
12,1,2219497789,6
12,1,1092448717,7
12,1,734241261.9,8
12,1,349545950.1,9
12,1,369364674.5,10
12,1,457450213.2,11
12,1,211822686.6,12
12,1,194205665.1,13
12,1,142584564.2,14
12,1,116636764.7,15
12,1,47528439.48,16
12,1,71937481.05,17
12,1,60272202.41,18
12,1,41221780.78,19
12,1,24691196,20
12,1,19451890.66,21
12,1,16077078.94,22
12,1,11590696.19,23
12,1,7965407.672,24
12,1,13156054.66,25
12,1,8743289.039,26
12,1,12242620.68,27
12,1,12098547.45,28
12,1,9886938.501,29
12,1,10384609.54,30
12,1,8594699.039,31
12,1,9533470.531,32
12,1,10509275.04,33
12,1,9951755.859,34
12,1,7006781.263,35
12,1,5670131.606,36
12,1,4496055.008,37
12,1,4749255.516,38
12,1,4220212.119,39
12,1,4206167.022,40
12,1,3768243.978,41
12,1,2065152.499,42
12,1,2437729.645,43
12,1,3003352.104,44
12,1,2992656.678,45
12,1,3004288.91,46
12,1,2167537.235,47
12,1,1906674.598,48
12,1,2083828.05,49
12,1,1712154.409,50
12,1,1339446.202,51
12,1,1337014.734,52
12,1,1179610.991,53
12,1,1198217.437,54
12,1,1053147.977,55
12,1,980153.2128,56
12,1,959884.5376,57
12,1,876897.7386,58
12,1,815210.5413,59
12,1,843812.8271,60
12,1,750118.5401,61
12,1,701046.3727,62
12,1,575731.8766,63
12,1,568291.8228,64
12,1,618073.2828,65
12,1,504737.9754,66
12,1,432808.18,67
12,1,388660.8451,68
12,1,313285.6009,69
12,1,328498.1993,70
12,1,281738.2764,71
12,1,202882.6335,72
12,1,165200.7908,73
12,1,140738.0268,74
12,1,133369.5627,75
12,1,128089.9236,76
12,1,102777.5343,77
12,1,96750.19663,78
12,1,92404.27288,79
12,1,69858.53489,80
12,1,61151.45353,81
12,1,67909.3718,82
12,1,56267.13726,83
12,1,47501.76172,84
12,1,46530.5911,85
12,1,38556.01883,86
12,1,35265.45706,87
12,1,38432.65926,88
12,1,36408.95573,89
12,1,30750.77353,90
13,1,4.48E+11,1
13,1,30603697144,2
13,1,27391430415,3
13,1,8425982453,4
13,1,3128986965,5
13,1,1671765583,6
13,1,1417688883,7
13,1,1311381464,8
13,1,450951387.4,9
13,1,439504531.2,10
13,1,377081409.1,11
13,1,351585095.2,12
13,1,196091427.4,13
13,1,220235290.5,14
13,1,186351257.8,15
13,1,135478675,16
13,1,84206510.57,17
13,1,70211180.08,18
13,1,43585497.71,19
13,1,25946329.1,20
13,1,21599858.63,21
13,1,25469269.82,22
13,1,20098697.09,23
13,1,18294768.71,24
13,1,16165777.79,25
13,1,15183686.61,26
13,1,13944429.93,27
13,1,12480587.83,28
13,1,9856119.249,29
13,1,10382490.22,30
13,1,11776440.53,31
13,1,11577912.73,32
13,1,8146661.407,33
13,1,8033513.577,34
13,1,5857277.009,35
13,1,5760837.376,36
13,1,5628850.837,37
13,1,4127514.191,38
13,1,4140585.172,39
13,1,4205517.663,40
13,1,3717743.862,41
13,1,3044020.487,42
13,1,2635535.965,43
13,1,2090805.338,44
13,1,1862384.338,45
13,1,1856987.987,46
13,1,1522404.002,47
13,1,1575416.278,48
13,1,1303738.763,49
13,1,1177410.95,50
13,1,1111496.856,51
13,1,953333.3625,52
13,1,682492.0917,53
